,r,g,b
0,98,53,48
1,160,104,85
2,94,98,125
3,74,74,41
4,147,131,139
5,109,147,130
6,191,87,52
7,74,83,145
8,190,67,83
9,78,51,78
10,126,138,36
11,188,113,42
12,34,43,106
13,71,111,59
14,173,28,43
15,177,138,36
16,165,75,131
17,55,102,133
18,164,146,145
19,155,139,137
20,149,132,130
21,106,92,86
22,72,61,63
23,36,26,33
