,r,g,b
0,115,82,69
1,204,161,141
2,101,134,179
3,89,109,61
4,141,137,194
5,132,228,208
6,249,118,35
7,80,91,182
8,222,91,125
9,91,63,123
10,173,232,91
11,255,164,26
12,44,56,142
13,74,148,81
14,179,42,50
15,250,226,21
16,191,81,160
17,6,142,172
18,252,252,252
19,230,230,230
20,200,200,200
21,143,143,142
22,100,100,100
23,50,50,50
