,r,g,b
0,94,59,35
1,161,102,63
2,86,79,74
3,83,70,31
4,108,80,80
5,90,112,77
6,175,91,25
7,72,63,85
8,159,69,52
9,83,49,54
10,124,117,15
11,168,102,4
12,45,46,71
13,72,98,34
14,141,54,29
15,182,129,3
16,148,66,68
17,48,82,76
18,190,155,114
19,162,133,96
20,132,108,79
21,98,77,54
22,69,55,34
23,47,33,19
