,r,g,b
0,109,87,73
1,179,139,115
2,108,127,170
3,82,105,63
4,166,165,179
5,112,175,166
6,207,130,75
7,86,91,185
8,202,98,99
9,87,70,104
10,133,172,57
11,205,152,46
12,68,77,144
13,85,135,92
14,187,67,59
15,191,176,49
16,182,90,152
17,59,120,174
18,166,165,163
19,161,160,157
20,157,157,159
21,124,126,123
22,95,100,96
23,64,71,64
