,r,g,b
0,94,65,55
1,164,128,108
2,103,113,151
3,72,83,40
4,152,151,164
5,121,164,152
6,192,116,58
7,85,90,168
8,180,90,96
9,72,55,92
10,130,151,36
11,187,137,41
12,41,47,131
13,81,116,69
14,157,51,52
15,177,156,34
16,160,88,145
17,63,114,150
18,163,162,167
19,147,147,149
20,143,142,147
21,105,103,108
22,75,74,80
23,22,21,28
