,r,g,b
0,76,49,38
1,136,100,77
2,76,87,115
3,49,59,25
4,127,124,133
5,94,142,128
6,168,88,39
7,61,66,134
8,155,64,69
9,54,37,66
10,105,126,26
11,169,112,32
12,25,29,96
13,53,89,47
14,132,32,32
15,150,127,23
16,135,62,115
17,38,87,120
18,123,122,127
19,115,115,115
20,111,112,114
21,77,78,81
22,52,52,54
23,16,16,19
