,r,g,b
0,144,115,111
1,216,191,186
2,145,187,233
3,92,141,85
4,194,218,244
5,159,231,230
6,249,171,125
7,127,164,245
8,232,137,169
9,112,100,161
10,168,219,97
11,238,191,85
12,65,103,210
13,108,185,129
14,214,66,93
15,220,222,89
16,217,145,219
17,95,186,231
18,218,236,248
19,203,221,233
20,195,214,230
21,149,168,182
22,111,130,146
23,25,28,33
