,r,g,b
0,142,105,95
1,225,188,179
2,144,186,225
3,97,142,81
4,119,181,170
5,167,235,235
6,249,175,121
7,122,163,241
8,243,141,169
9,119,102,157
10,173,222,95
11,251,202,90
12,52,99,203
13,117,184,135
14,229,79,96
15,232,227,95
16,231,153,229
17,99,195,239
18,229,242,254
19,215,228,238
20,208,224,235
21,157,174,187
22,118,134,149
23,32,34,39
