,r,g,b
0,116,73,56
1,197,153,128
2,104,142,189
3,70,95,39
4,173,184,203
5,132,209,201
6,234,139,75
7,85,123,213
8,221,104,123
9,81,65,114
10,156,188,41
11,229,170,42
12,29,59,169
13,87,151,75
14,203,46,60
15,215,200,35
16,199,116,186
17,58,154,202
18,203,206,213
19,187,190,195
20,181,186,192
21,130,135,140
22,86,93,99
23,28,28,28
