,r,g,b
0,123,81,65
1,191,153,130
2,116,144,174
3,80,101,45
4,176,180,190
5,137,197,186
6,233,138,83
7,102,126,192
8,215,108,120
9,90,75,112
10,152,182,49
11,227,164,56
12,45,73,156
13,93,149,81
14,198,58,71
15,209,192,54
16,196,121,176
17,78,153,185
18,205,205,203
19,186,186,182
20,178,180,179
21,136,138,139
22,90,93,96
23,27,24,25
