,r,g,b
0,125,84,67
1,197,157,135
2,121,147,178
3,86,105,54
4,181,184,197
5,143,202,187
6,234,144,88
7,107,129,199
8,218,112,126
9,92,76,116
10,158,186,59
11,228,167,63
12,52,79,160
13,98,154,87
14,198,60,72
15,211,196,55
16,195,124,179
17,83,153,189
18,205,205,203
19,187,187,185
20,182,183,185
21,138,140,141
22,94,97,101
23,27,24,27
