,r,g,b
0,72,38,28
1,146,87,57
2,65,85,110
3,53,65,27
4,118,114,111
5,72,125,94
6,195,68,24
7,51,66,130
8,185,50,57
9,62,40,63
10,105,139,18
11,187,99,18
12,20,30,91
13,48,95,42
14,167,25,29
15,175,139,18
16,167,58,117
17,30,88,111
18,146,134,122
19,137,128,115
20,132,125,117
21,88,80,77
22,64,61,56
23,31,28,23
