,r,g,b
0,110,88,90
1,181,144,134
2,123,155,196
3,80,108,67
4,176,178,200
5,137,189,184
6,215,125,92
7,91,117,192
8,214,108,134
9,97,86,126
10,146,184,81
11,216,159,78
12,42,61,137
13,76,127,85
14,193,59,79
15,201,185,73
16,183,108,177
17,72,141,196
18,175,175,187
19,162,162,170
20,164,164,176
21,108,111,120
22,75,79,90
23,27,31,36
