,r,g,b
0,117,73,60
1,187,145,123
2,112,139,171
3,79,93,47
4,166,168,180
5,130,189,179
6,226,130,75
7,99,120,188
8,207,103,117
9,85,66,106
10,150,175,50
11,223,157,53
12,44,66,153
13,92,141,79
14,189,49,62
15,200,183,37
16,189,112,169
17,72,145,181
18,193,194,195
19,178,177,176
20,171,172,174
21,125,126,126
22,88,91,93
23,30,28,33
