,r,g,b
0,125,106,94
1,179,142,122
2,106,122,168
3,78,101,63
4,164,164,180
5,120,180,171
6,206,135,91
7,100,105,191
8,204,102,106
9,92,75,113
10,137,174,62
11,205,157,54
12,84,92,143
13,101,143,107
14,191,90,85
15,195,182,73
16,185,105,163
17,74,130,175
18,155,158,153
19,156,156,152
20,158,160,158
21,129,135,130
22,107,113,108
23,80,85,81
