,r,g,b
0,107,93,85
1,163,133,119
2,102,119,166
3,71,97,57
4,147,152,172
5,104,169,169
6,176,112,82
7,90,99,163
8,185,103,104
9,90,81,107
10,121,161,67
11,189,143,77
12,71,76,108
13,83,116,89
14,151,85,76
15,163,156,73
16,157,102,139
17,74,116,149
18,166,165,163
19,161,160,157
20,157,157,159
21,124,126,123
22,86,93,90
23,64,72,64
