,r,g,b
0,158,109,102
1,234,191,185
2,153,185,226
3,108,142,88
4,215,221,245
5,175,235,237
6,249,177,129
7,130,156,240
8,248,148,173
9,131,103,164
10,182,221,102
11,251,204,103
12,64,95,204
13,120,182,133
14,236,90,105
15,241,228,98
16,241,160,231
17,108,191,233
18,232,235,250
19,220,222,235
20,215,218,235
21,171,174,193
22,127,132,153
23,36,35,41
