,r,g,b
0,148,115,108
1,222,195,186
2,155,194,237
3,102,150,92
4,207,224,244
5,166,238,236
6,250,180,127
7,132,168,246
8,241,147,174
9,120,109,165
10,174,227,113
11,245,206,101
12,65,109,214
13,117,191,142
14,228,81,102
15,228,228,103
16,227,157,230
17,109,200,245
18,225,242,252
19,215,229,240
20,207,224,241
21,161,178,195
22,124,141,158
23,37,41,48
