,r,g,b
0,130,95,91
1,216,183,176
2,107,184,254
3,78,137,73
4,174,205,234
5,102,227,221
6,255,147,83
7,95,151,246
8,247,111,157
9,105,85,154
10,138,212,57
11,240,177,48
12,37,86,214
13,73,181,121
14,230,42,75
15,220,213,45
16,218,116,215
17,28,182,236
18,199,221,244
19,187,210,224
20,183,209,226
21,137,164,183
22,91,116,135
23,33,32,40
